"Treatment_regime","Time","True_value","Mean_estimate__Empirical_SE","Bias__MonteCarlo_SE"
"Never treated",1,"0.498","0.497 (0.008)","-0.000 (0.000)"
"Never treated",2,"0.247","0.247 (0.007)","-0.000 (0.000)"
"Never treated",3,"0.122","0.122 (0.006)","0.000 (0.000)"
"Never treated",4,"0.059","0.060 (0.004)","0.001 (0.000)"
"Never treated",5,"0.029","0.029 (0.003)","0.000 (0.000)"
"Always treated",1,"0.607","0.607 (0.020)","-0.000 (0.001)"
"Always treated",2,"0.387","0.387 (0.030)","0.000 (0.001)"
"Always treated",3,"0.256","0.257 (0.036)","0.001 (0.001)"
"Always treated",4,"0.173","0.175 (0.042)","0.002 (0.001)"
"Always treated",5,"0.119","0.126 (0.053)","0.007 (0.002)"
